seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
101,1776892711.026,,-1,1,0,0
103,1776892712.335,,-1,1,0,0
104,1776892713.277,,-1,1,0,0
105,1776892714.221,,-1,1,0,0
106,1776892715.155,,-1,1,0,0
107,1776892716.100,,-1,1,0,0
108,1776892717.041,,-1,1,0,0
109,1776892718.100,,-1,1,0,0
110,1776892719.040,,-1,1,0,0
111,1776892720.099,,-1,1,0,0
112,1776892721.040,,-1,1,0,0
113,1776892722.099,,-1,1,0,0
114,1776892723.040,,-1,1,0,0
115,1776892724.098,,-1,1,0,0
116,1776892725.039,,-1,1,0,0
117,1776892726.098,,-1,1,0,0
118,1776892727.038,,-1,1,0,0
119,1776892728.096,,-1,1,0,0
120,1776892729.039,,-1,1,0,0
121,1776892730.092,,-1,1,0,0
122,1776892731.032,,-1,1,0,0
123,1776892732.087,,-1,1,0,0
125,1776892733.134,,-1,1,0,0
126,1776892734.073,,-1,1,0,0
127,1776892735.128,,-1,1,0,0
128,1776892736.063,,-1,1,0,0
129,1776892737.362,,-1,1,0,0
131,1776892738.294,,-1,1,0,0
132,1776892739.245,,-1,1,0,0
133,1776892740.187,,-1,1,0,0
134,1776892741.130,,-1,1,0,0
135,1776892742.072,,-1,1,0,0
136,1776892743.370,,-1,1,0,0
137,1776892744.301,,-1,1,0,0
138,1776892745.241,1776892749.436,0,0,0,0
139,1776892746.191,,-1,1,0,0
140,1776892747.134,,-1,1,0,0
141,1776892748.074,,-1,1,0,0
142,1776892749.127,,-1,1,0,0
143,1776892750.173,,-1,1,0,0
144,1776892751.102,,-1,1,0,0
145,1776892752.044,,-1,1,0,0
146,1776892753.092,,-1,1,0,0
147,1776892754.028,,-1,1,0,0
148,1776892755.084,,-1,1,0,0
149,1776892756.038,,-1,1,0,0
150,1776892757.097,,-1,1,0,0
151,1776892758.040,,-1,1,0,0
152,1776892759.089,,-1,1,0,0
153,1776892760.041,,-1,1,0,0
154,1776892761.098,,-1,1,0,0
155,1776892762.041,,-1,1,0,0
156,1776892763.093,,-1,1,0,0
157,1776892764.047,,-1,1,0,0
158,1776892765.102,,-1,1,0,0
159,1776892766.045,,-1,1,0,0
160,1776892767.097,,-1,1,0,0
161,1776892768.034,,-1,1,0,0
162,1776892769.087,,-1,1,0,0
164,1776892770.039,,-1,1,0,0
165,1776892771.094,,-1,1,0,0
166,1776892772.030,,-1,1,0,0
167,1776892773.085,,-1,1,0,0
169,1776892774.136,,-1,1,0,0
170,1776892775.073,,-1,1,0,0
171,1776892776.369,,-1,1,0,0
172,1776892777.302,,-1,1,0,0
173,1776892778.238,,-1,1,0,0
174,1776892779.181,,-1,1,0,0
175,1776892780.122,,-1,1,0,0
176,1776892781.055,,-1,1,0,0
177,1776892782.106,,-1,1,0,0
179,1776892783.042,,-1,1,0,0
180,1776892784.098,,-1,1,0,0
181,1776892785.034,,-1,1,0,0
182,1776892786.089,,-1,1,0,0
184,1776892787.138,,-1,1,0,0
185,1776892788.076,,-1,1,0,0
186,1776892789.131,,-1,1,0,0
187,1776892790.068,,-1,1,0,0
188,1776892791.364,,-1,1,0,0
189,1776892792.296,,-1,1,0,0
190,1776892793.234,,-1,1,0,0
191,1776892794.175,,-1,1,0,0
192,1776892795.117,,-1,1,0,0
193,1776892796.046,,-1,1,0,0
194,1776892797.098,,-1,1,0,0
196,1776892798.048,,-1,1,0,0
197,1776892799.104,,-1,1,0,0
198,1776892800.046,,-1,1,0,0
199,1776892801.096,,-1,1,0,0
