seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed
86,1776572439.170,,-1,3,0,1
87,1776572449.344,1776572458.633,3,3,0,0
88,1776572459.368,1776572465.702,2,2,0,0
89,1776572469.398,,-1,3,0,0
90,1776572479.192,,-1,3,0,0
91,1776572489.353,1776572489.666,0,0,0,0
92,1776572499.291,1776572508.569,3,3,0,0
93,1776572509.304,,-1,3,0,0
94,1776572519.462,1776572525.800,2,2,0,0
95,1776572529.499,,-1,3,0,0
96,1776572539.276,,-1,3,0,0
97,1776572549.429,,-1,3,0,0
98,1776572559.219,,-1,3,0,0
99,1776572569.371,,-1,3,0,0
100,1776572579.524,,-1,3,0,0
101,1776572589.313,1776572589.627,0,0,0,0
102,1776572599.258,,-1,3,0,0
103,1776572609.538,,-1,3,0,0
104,1776572619.322,,-1,3,0,0
105,1776572629.479,1776572632.737,1,1,0,0
106,1776572639.404,1776572648.680,3,3,0,0
107,1776572649.416,1776572658.702,3,3,0,0
108,1776572659.440,,-1,3,0,0
109,1776572669.234,,-1,3,0,0
110,1776572679.383,1776572688.655,3,3,0,0
111,1776572689.391,,-1,3,0,0
112,1776572699.176,,-1,3,0,0
113,1776572709.334,,-1,3,0,0
114,1776572719.490,1776572725.702,2,2,0,0
