# Stage T vehicle capture from COM7
# Started: 2026-04-18 23:10:40
1776571840.764030 
1776571840.764039 ==============================================
1776571840.764042   RocketChip v0.16.0  RCOS v0.5.0  bench-16c53e6
1776571840.764043   Board: Adafruit Feather RP2350 HSTX
1776571840.764044   Profile: Rocket  Uptime: 359s
1776571840.764045 ==============================================
1776571840.764047 Hardware: 14/14 OK
1776571840.764048 Flash: 4 flights, 27% used
1776571840.764049 
1776571840.764050 h-Help  p-Preflight  c-Calibration  f-Flight
1776571840.764051 g-Flights  d-Download  l-Flush  x-Erase
1776571840.764052 t-Radio  r-Rate  m-MAVLink  b-Beacon  q-Debug
1776571840.764053 [main] [STAGE_T] state TX->RXW t=359857498
1776571840.979699 [STAGE_T] state RXW->TX t=360057425
1776571840.979706 [STAGE_T] state RXW->TX t=360057757
1776571841.088152 [STAGE_T] state TX->RXW t=360157494
1776571841.196260 [STAGE_T] state RXW->TX t=360257410
1776571841.196265 [STAGE_T] state RXW->TX t=360257749
1776571841.304153 [STAGE_T] state TX->RXW t=360357482
1776571841.411522 [STAGE_T] state RXW->TX t=360458595
1776571841.411526 [STAGE_T] state RXW->TX t=360459018
1776571841.520037 [STAGE_T] state TX->RXW t=360557522
1776571841.628435 [STAGE_T] state RXW->TX t=360657424
1776571841.628440 [STAGE_T] state RXW->TX t=360657776
1776571841.736921 [STAGE_T] state TX->RXW t=360757498
1776571841.844303 [STAGE_T] state RXW->TX t=360957407
1776571841.844309 [STAGE_T] state RXW->TX t=360957757
1776571841.952338 [STAGE_T] state TX->RXW t=361057505
1776571842.060461 [STAGE_T] state RXW->TX t=361157399
1776571842.060466 [STAGE_T] state RXW->TX t=361157730
1776571842.169257 [STAGE_T] state TX->RXW t=361257492
1776571842.277361 [STAGE_T] state RXW->TX t=361357400
1776571842.277365 [STAGE_T] state RXW->TX t=361357799
1776571842.385270 [STAGE_T] state TX->RXW t=361457538
1776571842.602114 [STAGE_T] state RXW->TX t=361657410
1776571842.602119 [STAGE_T] state RXW->TX t=361657771
1776571842.710619 [STAGE_T] state TX->RXW t=361757489
1776571842.818518 [STAGE_T] state RXW->TX t=361857421
1776571842.818523 [STAGE_T] state RXW->TX t=361857768
1776571842.926912 [STAGE_T] state TX->RXW t=361957501
1776571843.142443 [STAGE_T] state RXW->TX t=362157403
1776571843.142448 [STAGE_T] state RXW->TX t=362157740
1776571843.142449 [STAGE_T] state TX->RXW t=362257503
1776571843.250970 [STAGE_T] state RXW->TX t=362357402
1776571843.250974 [STAGE_T] state RXW->TX t=362357826
1776571843.358794 [STAGE_T] state TX->RXW t=362457487
1776571843.466653 [STAGE_T] state RXW->TX t=362557425
1776571843.466658 [STAGE_T] state RXW->TX t=362557802
1776571843.574553 [STAGE_T] state TX->RXW t=362657500
1776571843.682315 [STAGE_T] state RXW->TX t=362757419
1776571843.682324 [STAGE_T] state RXW->TX t=362757770
1776571843.789901 [STAGE_T] state TX->RXW t=362857498
1776571844.006461 [STAGE_T] state RXW->TX t=363057402
1776571844.006470 [STAGE_T] state RXW->TX t=363057752
1776571844.114516 [STAGE_T] state TX->RXW t=363157499
1776571844.222234 [STAGE_T] state RXW->TX t=363257412
1776571844.222242 [STAGE_T] state RXW->TX t=363257752
1776571844.329591 [STAGE_T] state TX->RXW t=363359457
1776571844.438114 [STAGE_T] state RXW->TX t=363457431
1776571844.438131 [STAGE_T] state RXW->TX t=363457769
1776571844.546612 [STAGE_T] state TX->RXW t=363557510
1776571844.546623 [STAGE_T] state RXW->TX t=363657415
1776571844.546624 [STAGE_T] state RXW->TX t=363657777
1776571844.654478 [STAGE_T] state TX->RXW t=363757502
1776571844.762877 [STAGE_T] state RXW->TX t=363857409
1776571844.762886 [STAGE_T] state RXW->TX t=363857776
1776571844.871406 [STAGE_T] state TX->RXW t=363957491
1776571844.979246 [STAGE_T] state RXW->TX t=364057406
1776571844.979258 [STAGE_T] state RXW->TX t=364057796
1776571845.086971 [STAGE_T] state TX->RXW t=364157488
1776571845.303928 [STAGE_T] state RXW->TX t=364357415
1776571845.303938 [STAGE_T] state RXW->TX t=364357774
1776571845.412207 [STAGE_T] state TX->RXW t=364457497
1776571845.629203 [STAGE_T] state RXW->TX t=364657421
1776571845.629217 [STAGE_T] state RXW->TX t=364657793
1776571845.737691 [STAGE_T] state TX->RXW t=364757498
1776571845.846243 [STAGE_T] state RXW->TX t=364857412
1776571845.846261 [STAGE_T] state RXW->TX t=364857779
1776571845.846263 [STAGE_T] state TX->RXW t=364957492
1776571845.954707 [STAGE_T] state RXW->TX t=365057404
1776571845.954718 [STAGE_T] state RXW->TX t=365057782
1776571846.063196 [STAGE_T] state TX->RXW t=365157506
1776571846.280200 [STAGE_T] state RXW->TX t=365357436
1776571846.280214 [STAGE_T] state RXW->TX t=365357804
1776571846.388702 [STAGE_T] state TX->RXW t=365458762
1776571846.497192 [STAGE_T] state RXW->TX t=365557388
1776571846.497202 [STAGE_T] state RXW->TX t=365557739
1776571846.605199 [STAGE_T] state TX->RXW t=365657498
1776571846.713715 [STAGE_T] state RXW->TX t=365757411
1776571846.713729 [STAGE_T] state RXW->TX t=365757805
1776571846.822065 [STAGE_T] state TX->RXW t=365857488
1776571847.039048 [STAGE_T] state RXW->TX t=366057402
1776571847.039057 [STAGE_T] state RXW->TX t=366057763
1776571847.147553 [STAGE_T] state TX->RXW t=366157489
1776571847.256047 [STAGE_T] state RXW->TX t=366357412
1776571847.256055 [STAGE_T] state RXW->TX t=366357798
1776571847.364546 [STAGE_T] state TX->RXW t=366458757
1776571847.473057 [STAGE_T] state RXW->TX t=366557413
1776571847.473068 [STAGE_T] state RXW->TX t=366557742
1776571847.581312 [STAGE_T] state TX->RXW t=366657498
1776571847.689646 [STAGE_T] state RXW->TX t=366757441
1776571847.689654 [STAGE_T] state RXW->TX t=366757763
1776571847.798210 [STAGE_T] state TX->RXW t=366857491
1776571847.906473 [STAGE_T] state RXW->TX t=366957428
1776571847.906479 [STAGE_T] state RXW->TX t=366957752
1776571848.014718 [STAGE_T] state TX->RXW t=367057491
1776571848.231255 [STAGE_T] state RXW->TX t=367257414
1776571848.231259 [STAGE_T] state RXW->TX t=367257835
1776571848.339399 [STAGE_T] state TX->RXW t=367357505
1776571848.446993 [STAGE_T] state RXW->TX t=367457427
1776571848.447016 [STAGE_T] state RXW->TX t=367457810
1776571848.447020 [STAGE_T] state TX->RXW t=367557498
1776571848.663084 [STAGE_T] state RXW->TX t=367757416
1776571848.663090 [STAGE_T] state RXW->TX t=367757805
1776571848.771132 [STAGE_T] state TX->RXW t=367857512
1776571848.878964 [STAGE_T] state RXW->TX t=367957414
1776571848.878971 [STAGE_T] state RXW->TX t=367957778
1776571848.986737 [STAGE_T] state TX->RXW t=368057481
1776571849.203545 [STAGE_T] state RXW->TX t=368257413
1776571849.203551 [STAGE_T] state RXW->TX t=368257812
1776571849.312053 [STAGE_T] state TX->RXW t=368358800
