seq,sent_host_t,ack_host_t,ack_retry_slot,retry_count,denied,failed,send_after_rxw_ms
0,1776574551.602,,-1,3,0,1,36.1
1,1776574561.895,,-1,3,0,0,66.7
2,1776574572.047,,-1,3,0,0,67.3
3,1776574582.193,,-1,3,0,0,66.9
4,1776574592.443,,-1,3,0,0,67.1
5,1776574602.694,,-1,3,0,0,66.9
6,1776574612.836,,-1,3,0,0,67.1
7,1776574622.978,1776574639.375,2,2,0,0,66.6
8,1776574633.122,,-1,3,0,0,67.2
9,1776574643.262,,-1,3,0,0,66.9
10,1776574653.406,,-1,3,0,0,67.5
11,1776574663.550,,-1,3,0,0,67.0
12,1776574673.700,,-1,3,0,0,66.7
13,1776574683.841,,-1,3,0,0,67.5
14,1776574694.001,,-1,3,0,0,67.4
15,1776574704.151,,-1,3,0,0,67.2
16,1776574714.417,,-1,3,0,0,66.3
17,1776574724.574,,-1,3,0,0,67.0
18,1776574734.837,,-1,3,0,0,67.1
19,1776574745.102,,-1,3,0,0,66.9
20,1776574755.252,,-1,3,0,0,67.5
21,1776574765.409,,-1,3,0,0,67.6
22,1776574775.676,,-1,3,0,0,67.5
23,1776574785.934,,-1,3,0,0,66.6
24,1776574796.201,,-1,3,0,0,67.6
25,1776574806.359,,-1,3,0,0,67.0
26,1776574816.628,,-1,3,0,0,67.5
27,1776574826.784,,-1,3,0,0,67.3
28,1776574836.933,,-1,3,0,0,66.3
