t_rel,pkts,rx_pkts,crc_err,rssi,delta_pkts
0.00,1074,,,-114,0
2.64,1074,,,-114,0
5.28,1074,,,-114,0
7.92,1074,,,-114,0
10.55,1074,,,-114,0
13.19,1074,,,-114,0
15.82,1074,,,-114,0
18.46,1074,,,-114,0
21.10,1074,,,-114,0
23.73,1074,,,-114,0
26.37,1074,,,-114,0
29.01,1074,,,-114,0
31.65,1074,,,-114,0
34.28,1074,,,-114,0
36.92,1074,,,-114,0
39.55,1074,,,-114,0
42.18,1074,,,-114,0
44.82,1074,,,-114,0
47.45,1074,,,-114,0
50.09,1074,,,-114,0
52.72,1074,,,-114,0
55.36,1074,,,-114,0
57.99,1074,,,-114,0
